"id","sessionId","role","content","contentType","timestamp"
d9aa97eb-6fd8-41b0-9f41-9f256b437a5c,"5865e085-096b-4e5e-96e9-18eddc88faa6",USER,你好，我今年40岁，有20年的保安工作经验，本科毕业,TEXT,2026-07-14 09:27:52.270 +0800
c23da80e-3c0e-475c-b391-b327d05d5284,"5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,请具体说说你的本科专业是什么？,TEXT,2026-07-14 09:27:52.370 +0800
f75cf778-7d25-4f38-aa28-bd50cdaeacfa,"5865e085-096b-4e5e-96e9-18eddc88faa6",USER,保安专业,TEXT,2026-07-14 09:27:52.470 +0800
"6ba4c7f9-79cc-4d19-b7a5-a1c65bccd7c1","5865e085-096b-4e5e-96e9-18eddc88faa6",USER,在监控室查看监控,TEXT,2026-07-14 09:28:24.456 +0800
f58a7a35-bddc-419a-9eb6-b9077376729c,"5865e085-096b-4e5e-96e9-18eddc88faa6",USER,复责,TEXT,2026-07-14 09:28:24.556 +0800
ad7d8668-7fe1-4e95-9a67-087552c34b9d,"5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,下一题：你上一份工作主要负责什么内容？,TEXT,2026-07-14 09:28:44.647 +0800
"6a2ac161-828e-4891-9490-cd594bfb7944","5865e085-096b-4e5e-96e9-18eddc88faa6",USER,。停车场重要公共场所的监控,TEXT,2026-07-14 09:28:44.747 +0800
"890e4a82-da93-46ec-a154-37aab713cb9e","5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,监控停车场时，主要看哪些具体内容？,TEXT,2026-07-14 09:28:44.847 +0800
"9d1a8706-eb29-4a8e-b1e2-63ded1e9c035","5865e085-096b-4e5e-96e9-18eddc88faa6",USER,，吃喝玩乐,TEXT,2026-07-14 09:28:44.947 +0800
"5f469b84-8779-4bb7-98af-ddec21a1b1ea","5865e085-096b-4e5e-96e9-18eddc88faa6",USER,他 看下有,TEXT,2026-07-14 09:28:45.047 +0800
ba3d25e8-4806-4a88-9f28-d289f32a821a,"5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,下一题：上一份工作是在哪家公司？地点在哪？,TEXT,2026-07-14 09:29:07.487 +0800
"3f02a3bb-6d8d-41d4-974b-dacfed1b89f8","5865e085-096b-4e5e-96e9-18eddc88faa6",USER,，看下有冇，有人倒车咯，睇下啲车停的好不好咯,TEXT,2026-07-14 09:29:07.587 +0800
"9de01db3-5635-44c3-a67f-2987b550df86","5865e085-096b-4e5e-96e9-18eddc88faa6",USER,佛山南海桂城街道嘅，广东金富科技股份有限公司,TEXT,2026-07-14 09:29:07.687 +0800
"1bb97095-50ac-45cc-b05b-eb5496f42c63","5865e085-096b-4e5e-96e9-18eddc88faa6",USER,他就有,TEXT,2026-07-14 09:29:07.787 +0800
"598d2b33-e481-4feb-9eba-5701dd142fd6","5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,接着来：在保安岗位连续做了多久？,TEXT,2026-07-14 09:29:37.275 +0800
"6edb671a-e224-46c1-bd32-c5f8749a1f8f","5865e085-096b-4e5e-96e9-18eddc88faa6",USER,做咗20年,TEXT,2026-07-14 09:29:37.375 +0800
"93b20375-613e-4259-9ea8-5993750838fa","5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,"20年係连续定断断续续？",TEXT,2026-07-14 09:29:37.475 +0800
"6af6ae29-a432-4066-988b-1a3592c3aa6d","5865e085-096b-4e5e-96e9-18eddc88faa6",USER,二十年系连续嘅,TEXT,2026-07-14 09:29:37.575 +0800
"878d8c99-db69-483c-879c-16f7e0a0cb3c","5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,下一题：你平时和同事沟通用什么语言？,TEXT,2026-07-14 09:30:20.257 +0800
